Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
755,759,741.25,747,5862836381,136066,7826587
737,765.9,733.75,741.05,7375861532,155968,9821523
750,756.8,722.05,731.7,10433101671,277778,14123957
778,780.75,772.2,777.85,4059425155,100716,5223386
793.95,801.45,780.5,782.75,6935314353,168481,8760569
799,806,795.4,798.4,5596900401,114637,6996695
800.1,811.6,792.15,795.85,5328879150,130286,6627536
803.25,806.1,793.85,797,3655039599,94252,4564569
800,804.85,796.15,800.45,3186637946,79345,3985192
785,799.05,783.65,797.65,4032462344,103674,5083346
790.3,793.45,783.3,789.45,2312085827,69780,2929629
794.5,799.2,784.6,786.45,4213573743,103460,5321680
785,794,782.2,792.25,3455129906,80876,4387430
775.8,783.25,775.1,781.05,2302228797,80507,2948825
